CUSTOMER,REV_CURRENT_YEAR,REV_CURRENT_YEAR.1,REV_CURRENT_YEAR.2,CREATION_YEAR,OWNERSHIP,COUNTRY,CURRENCY
5738,"""8196.5811965812""",8196.581196581197,7781.213675213676,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
727,"""459115.488372093""",459115.48837209307,833115.2674418605,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
2415,"""145633.512820513""",145633.5128205128,760.2478632478633,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
686,"""236169.418604651""",236169.41860465117,224877.8139534884,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
1624,"""342928.692307692""",342928.6923076923,1208034.0769230768,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
86,"""10666640.8461538""",10666640.846153846,13492136.692307692,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3703,"""11351.02""",11351.02,2562.58,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
993,"""1039432.30769231""",1039432.3076923077,717216.3846153846,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
816,"""335222.384615385""",335222.3846153846,316891.3076923077,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
5676,"""29263.7008547009""",29263.700854700855,17294.444444444445,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
1003,"""4036140.30769231""",4036140.3076923075,4360123.846153846,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3982,"""18609.3076923077""",18609.30769230769,18570.30769230769,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
868,"""47947.0256410256""",47947.02564102564,267078.5641025641,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3707,"""102949.21""",102949.21,16673.73,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
1082,"""295480.05""",295480.05,274464.01,01.01.2003,Governmental,Switzerland,Euro
774,"""57038.08""",57038.08,64227.85,01.01.2003,Governmental,Switzerland,Euro
206,"""316629.230769231""",316629.2307692308,876817,01.01.2003,Governmental,Switzerland,Chinese Yuan
3659,"""926601.538461538""",926601.5384615384,929671.6153846154,01/01/2003,Governmental,Switzerland,Chinese Yuan
505,"""103515.641025641""",103515.64102564103,108418.47863247864,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
4109,"""38057.2209302326""",38057.22093023256,0,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
2736,"""273364.279069767""",273364.27906976745,279286.9651162791,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
247,"""1050052.74418605""",1050052.7441860465,1285795.3720930233,01/01/2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
636,"""37238.44""",37238.44,12691.6,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Euro
561,"""131854.348837209""",131854.3488372093,144657.72093023255,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
3626,"""34872.49""",34872.49,79279.73,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
999,"""92093.2093023256""",92093.20930232559,44623.37209302325,01/01/2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
2248,"""16841.5213675214""",16841.52136752137,15152.05982905983,01.01.2004,Governmental,Switzerland,Pound Sterling
3036,"""3978.21367521368""",3978.2136752136757,607.2820512820513,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
638,"""10558.4786324786""",10558.478632478633,1919.1025641025642,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
1525,"""189637.034883721""",189637.03488372095,311503.511627907,01/01/2003,Governmental,Switzerland,US Dollar
4095,"""2482753.56976744""",2482753.5697674416,1480910.3953488371,01/01/2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
4811,"""6692.45""",6692.45,22387.5,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
1135,"""46698.4767441861""",46698.47674418605,48310.89534883721,01/01/2003,Governmental,Switzerland,US Dollar
3839,"""1471822.07692308""",1471822.0769230768,763926.3076923076,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
2684,"""65291.8837209302""",65291.88372093023,59315.66279069768,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
2795,"""46785.8720930233""",46785.87209302325,55679.09302325581,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
1503,"""406098.692307692""",406098.6923076923,393063,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
4355,"""43551.188034188""",43551.18803418804,72388.41880341881,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
1396,"""902053.076923077""",902053.0769230769,985542.2307692308,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
1571,"""53232.12""",53232.12,52611.65,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
1085,"""31923.4358974359""",31923.4358974359,84482.57264957266,01/01/2003,Governmental,Switzerland,Pound Sterling
5075,"""676042.076923077""",676042.0769230769,111879.69230769231,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
1013,"""222618.348837209""",222618.3488372093,112921.94186046511,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
4319,"""0""",0,0,01/01/2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
2214,"""152789.35""",152789.35,51878.86,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
4965,"""457057.461538462""",457057.46153846156,7954.538461538461,01/01/2004,Governmental,Switzerland,Chinese Yuan
5499,"""558622""",558622,599142.3846153845,01/01/2003,Governmental,Switzerland,Chinese Yuan
1974,"""89324.1538461538""",89324.15384615384,23809.538461538457,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3921,"""365701.384615385""",365701.3846153846,366018.3076923077,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
5514,"""3598.52991452991""",3598.5299145299145,3590.9658119658125,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3020,"""1331.73504273504""",1331.735042735043,8930.333333333334,01.01.2010,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3143,"""170243.444444444""",170243.44444444444,102503.12820512822,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
700,"""103154.948717949""",103154.94871794872,8604.982905982906,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
1618,"""5934.98837209302""",5934.988372093024,9736.523255813954,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
4339,"""5226.31623931624""",5226.316239316239,6558.752136752137,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
2494,"""99286.0769230769""",99286.07692307692,992479.4615384615,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
4130,"""14661.3504273504""",14661.350427350428,6925.8290598290605,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
5872,"""0""",0,6405.837606837607,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3371,"""15149.7441860465""",15149.744186046513,13803.767441860466,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
1621,"""116651.461538462""",116651.46153846153,95650.38461538461,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
2996,"""6584.89743589744""",6584.8974358974365,10412.290598290598,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3650,"""1612336""",1612336,5101174.307692308,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
2975,"""0""",0,0,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
5270,"""87165.4615384615""",87165.46153846153,57117.230769230766,01.01.2004,Governmental,Switzerland,Chinese Yuan
4133,"""25534.0683760684""",25534.06837606838,96666.72649572651,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
1769,"""62801.8034188034""",62801.80341880342,11012.03418803419,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
446,"""118826.604651163""",118826.6046511628,47967.8488372093,01.01.2003,Governmental,Switzerland,US Dollar
2826,"""0""",0,0,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Euro
3689,"""4028.29""",4028.29,4019.75,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
2274,"""635591.406976744""",635591.4069767442,149327.2558139535,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
3037,"""38973.0598290598""",38973.059829059835,46166.97435897436,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3562,"""0""",0,0,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
3739,"""0""",0,0,01/01/2007,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
2189,"""38140.5982905983""",38140.5982905983,11182.196581196582,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
1582,"""20437.0348837209""",20437.034883720928,16410.74418604651,01.01.2003,Governmental,Switzerland,US Dollar
1148,"""3223.81395348837""",3223.813953488372,17858.069767441862,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
682,"""86082.5042735043""",86082.50427350428,108339.09401709403,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
1325,"""1117595.56410256""",1117595.5641025642,2018259.6153846155,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
116,"""9797814.84615385""",9797814.846153846,12121657.46153846,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
1792,"""15412.4418604651""",15412.441860465118,2739.2558139534885,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
2451,"""182453.34""",182453.34,171010.75,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
5172,"""12898.41""",12898.41,16396.29,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
162,"""361837.307692308""",361837.3076923077,40392.84615384615,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
1457,"""8838.33720930233""",8838.337209302326,26613.383720930233,01/01/2010,Privately Owned/Publicly Traded,Switzerland,US Dollar
204,"""1414870.61538462""",1414870.6153846153,4536951.692307692,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
720,"""97953.6153846154""",97953.61538461539,303357.52991452994,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3663,"""1955.26744186047""",1955.2674418604652,21346.47674418605,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
2580,"""1437643""",1437643,1061634.0769230768,01.01.2003,Governmental,Switzerland,Chinese Yuan
124,"""50632.2564102564""",50632.256410256414,110792.1282051282,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3691,"""296281.73""",296281.73,111099.18,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
267,"""6574.39""",6574.39,10959.14,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
4566,"""0""",0,0,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
730,"""1920515.18604651""",1920515.1860465116,1898162.3837209302,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
3624,"""11429.4017094017""",11429.401709401709,83313.13675213675,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
5964,"""2391.77777777778""",2391.777777777778,1777.7692307692307,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
269,"""758165.511627907""",758165.5116279069,860289.7093023256,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
1383,"""96759.1196581197""",96759.11965811966,168373.10256410256,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
539,"""69822.6744186047""",69822.67441860466,9333.744186046511,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
622,"""108340.38""",108340.38,20613.84,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
772,"""783428.615384615""",783428.6153846154,355818.3846153846,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
876,"""1450574.53846154""",1450574.5384615385,126474.84615384614,01.01.2003,Governmental,Switzerland,Chinese Yuan
5589,"""111138.461538462""",111138.46153846153,0,01/01/2018,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
902,"""392258.307692308""",392258.3076923077,8582039.692307692,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
738,"""582537.777777778""",582537.7777777778,322068.62393162394,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
1461,"""2350315.30769231""",2350315.3076923075,1725468.8461538462,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3548,"""407686.538461538""",407686.53846153844,547679.3846153846,01.01.2003,Governmental,Switzerland,Chinese Yuan
2902,"""9745.63247863248""",9745.632478632479,10559.521367521367,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3794,"""81898.3247863248""",81898.32478632478,105146.93162393164,01.01.2003,Governmental,Switzerland,Pound Sterling
2602,"""61785.8974358974""",61785.89743589744,23323.162393162394,01.01.2003,Governmental,Switzerland,Pound Sterling
5841,"""39349.5581395349""",39349.558139534885,39267.25581395349,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
2845,"""14199.53""",14199.53,44825.41,01/01/2003,Governmental,Switzerland,Euro
41,"""183943.803418803""",183943.80341880344,48851.35042735043,01/01/2003,Governmental,Switzerland,Pound Sterling
3832,"""6994.94""",6994.94,8831.68,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
2432,"""22881.4358974359""",22881.4358974359,28135.880341880347,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3948,"""30103.31""",30103.31,22921.93,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
4482,"""0""",0,0,01.01.2008,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3307,"""61342.6""",61342.6,17121.3,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
2769,"""10857.65""",10857.65,71459.87,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
2948,"""146542.76""",146542.76,64356.24,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Euro
5791,"""70497.0256410257""",70497.02564102566,19.641025641025642,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
903,"""161940.744186047""",161940.74418604653,43831.93023255814,01/01/2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
2177,"""273952.230769231""",273952.23076923075,324863,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
5733,"""3880.54""",3880.54,2388.19,01/01/2007,Privately Owned/Publicly Traded,Switzerland,Euro
2203,"""75278.3255813953""",75278.32558139534,7800.581395348838,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
2806,"""25459.5384615385""",25459.538461538465,3774.8717948717954,01.01.2003,Governmental,Switzerland,Pound Sterling
1346,"""47091.0348837209""",47091.03488372093,26950.63953488372,01.01.2003,Governmental,Switzerland,US Dollar
1109,"""331702.8""",331702.8,730108.76,01/01/2003,Governmental,Switzerland,Euro
5162,"""2851.30769230769""",2851.307692307693,3438.444444444445,01.01.2004,No information,Switzerland,Pound Sterling
1337,"""0""",0,2577.991452991453,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3121,"""122974.03""",122974.03,17893.69,01/01/2003,Governmental,Switzerland,Euro
5129,"""1404006.72649573""",1404006.7264957267,1021055.5555555556,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
4292,"""0""",0,3730.7692307692305,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
696,"""34889.7093023256""",34889.70930232558,32984.976744186046,01.01.2003,Governmental,Switzerland,US Dollar
3115,"""0""",0,24914.529914529918,01/01/2003,Governmental,Switzerland,Pound Sterling
3899,"""8614.87209302326""",8614.872093023256,89192.93023255814,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
5182,"""0""",0,0,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
2878,"""103705.51""",103705.51,30382.78,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
2366,"""25609.8023255814""",25609.802325581397,173614.38372093023,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
5142,"""17763.05""",17763.05,92303.33,01.01.2003,Governmental,Switzerland,Euro
4046,"""0""",0,474.3953488372093,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
3535,"""104881.848837209""",104881.8488372093,241665.7906976744,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
3847,"""46694.1538461539""",46694.15384615385,64494.45299145299,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
5890,"""12330.04""",12330.04,1004.77,01.01.2003,Governmental,Switzerland,Euro
462,"""55556.08""",55556.08,39860.83,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
2358,"""209941.769230769""",209941.76923076922,29288.69230769231,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3230,"""0""",0,0,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
808,"""23881.2136752137""",23881.213675213676,16870.162393162394,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
2811,"""544821.538461538""",544821.5384615385,84135.15384615384,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3163,"""167020.61627907""",167020.61627906977,75177.91860465116,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
5497,"""6965.23076923077""",6965.2307692307695,0,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
2051,"""46605.9""",46605.9,31752.83,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
5707,"""0""",0,0,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
1550,"""16022.98""",16022.98,29696.66,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Euro
825,"""40503.14""",40503.14,107291.19,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
510,"""127884.069767442""",127884.06976744186,49983.604651162794,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
3038,"""4834.49""",4834.49,78896.94,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Euro
1908,"""111768.046511628""",111768.04651162791,67046.6046511628,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
1737,"""19812.5384615385""",19812.53846153846,43951.38461538462,01/01/2004,Governmental,Switzerland,Pound Sterling
5792,"""252202.230769231""",252202.23076923078,70082.46153846153,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
465,"""56397.1860465116""",56397.18604651163,28451.17441860465,01/01/2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
2804,"""38259.2325581395""",38259.23255813954,2219.5581395348836,01.01.2003,Governmental,Switzerland,US Dollar
5771,"""7439.29914529915""",7439.2991452991455,7423.786324786325,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3198,"""4383.12790697674""",4383.127906976744,5816.883720930233,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
1616,"""20556.2674418605""",20556.267441860466,95181.40697674418,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
598,"""541008.384615385""",541008.3846153846,371582,01.01.2003,Governmental,Switzerland,Chinese Yuan
2522,"""463464.307692308""",463464.3076923077,455011.6153846154,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
4092,"""0""",0,12644.941860465116,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
3219,"""4816.97""",4816.97,4689.7,01/01/2003,Governmental,Switzerland,Euro
361,"""437818.384615385""",437818.3846153846,745226.7692307691,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
23,"""352736.888888889""",352736.8888888889,350343.27350427356,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
5040,"""43869.9487179487""",43869.94871794872,13364.076923076924,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
91,"""5434543.23076923""",5434543.230769231,6802119.307692308,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
501,"""56512.358974359""",56512.358974358984,49763.93162393163,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
